lagidium: lagidiums
lagopus: lagopuses
lagostomus: lagostomuses
lambis: lambises
lamium: lamiums
lampris: lamprises
lampropeltis: lampropeltises
lanius: laniuses
lanthanotus: lanthanotuses
lasiurus: lasiuruses
lastreopsis: lastreopsises
lathyrus: lathyruses
latium: latiums
latrodectus: latrodectuses
laudo: laudoes
laurus: lauruses
lazarus: lazaruses
lazio: lazioes
leakey: leakeys
leccinum: leccinums
leibniz: leibnizzes
leiophyllum: leiophyllums
lemaireocereus: lemaireocereuses
lemmus: lemmuses
lentinus: lentinuses
leonardo: leonardoes
leonotis: leonotises
leontocebus: leontocebuses
leontopodium: leontopodiums
leonurus: leonuruses
lepanto: lepantoes
lepidium: lepidiums
lepidocybium: lepidocybiums
lepidothamnus: lepidothamnuses
lepisosteus: lepisosteuses
lepomis: lepomises
leptodactylus: leptodactyluses
leptoglossus: leptoglossuses
leptopteris: leptopterises
leptoptilus: leptoptiluses
lepus: lepuses
lesotho: lesothoes
leto: letoes
leucanthemum: leucanthemums
leuciscus: leuciscuses
levisticum: levisticums
leviticus: leviticuses
leymus: leymuses
liatris: liatrises
libocedrus: libocedruses
librium: libriums
ligustrum: ligustrums
lilium: liliums
limenitis: limenitises
limnobium: limnobiums
limnodromus: limnodromuses
limonium: limoniums
limpopo: limpopoes
limulus: limuluses
linanthus: linanthuses
linnaeus: linnaeuses
liparis: liparises
liposcelis: liposcelises
lithocarpus: lithocarpuses
lithospermum: lithospermums
litocranius: litocraniuses
llullaillaco: llullaillacoes
lolium: loliums
lolo: loloes
lonchocarpus: lonchocarpuses
lophius: lophiuses
lopholatilus: lopholatiluses
lophophorus: lophophoruses
loranthus: loranthuses
lotus: lotuses
lufengpithecus: lufengpithecuses
lumpenus: lumpenuses
luo: luoes
lupinus: lupinuses
lupus: lupuses
lutjanus: lutjanuses
luvarus: luvaruses
lycium: lyciums
lycopersicum: lycopersicums
lycopodium: lycopodiums
lycopus: lycopuses
lyginopteris: lyginopterises
lygodium: lygodiums
lygus: lyguses
lyonnais: lyonnaises
lyrurus: lyruruses
lysichitum: lysichitums
lysimachus: lysimachuses
lythrum: lythrums
macao: macaoes
macrodactylus: macrodactyluses
macropus: macropuses
macrothelypteris: macrothelypterises
macrotis: macrotises
maianthemum: maianthemums
malabo: malaboes
malacothamnus: malacothamnuses
malaxis: malaxises
malay: malays
mallotus: mallotuses
malmo: malmoes
malopterurus: malopteruruses
malthus: malthuses
malto: maltoes
malvastrum: malvastrums
malvaviscus: malvaviscera
mammuthus: mammuthuses
mandalay: mandalays
mandrillus: mandrilluses
